Simon Says,I Spy,Conversation,Song and Dance,Tell me a Story,Jokes,Draw with me,Drawing Game Screen 2,Introduction,Behavior Directions,Questions,Color and Shape Questions,Cave Art,Aboriginal Art,Inuit Sculpture,Fauvism,Cubism,Expressionism,Pop Art,Assemblage
let play simon says,Lets play I Spy,Hello,lets sing songs,Who,Why did the,Draw me a hat,Draw me glasses,Hello,Lets Clean up,Who,What Color is that,This is,What is aboriginal art?,What is that?,Can you point for me?,Can you show me Cubism?,What is,What is Pop Art?,What is Assemblage?
simon says,something,My name is Romibo,do you know this one,What,robot,Draw the sky,What is their name?,My name is Rowmeebo,2 More Minutes,What,what is your favorite color,Cave Art,How old is it?,Inuit Sculptures,Can you tell me?,Cut out,Expressionism,How do you feel?,Can you show me?
raise your,red,What is your name,sing me a song,Where,frog,Draw me a friend,Who is it?,I am a robot,Quiet Voice Please,Where,what do you think?,a bear,What is a symbol?,Stone Sculptures,Who is that?,eyes,Who is that?,Can you show me how you feel?,Use the
look,orange,What is your favorite,that's my favorite,when,cat,draw the water,Is there anything in the water?,What's your name,Space Please,When,That's Right!,a horse,Symbols are pictures that tell stories,Carvings,That's right!,a nose,Use your,I feel,Beans
hand,yellow,Me too,dance with me,why,dog,Draw the land,Draw someone else,Nice to meet you!,I'm Scared,Why,me too,a bison,Use your,What kind of weather do they like?,Guess Again,a mouth,pencil,Happy,Rice
right,green,Yes,do what I do,how,What did the,Why is that,What are we doing?,This is fun!,I'm tired,is,what is that,Use the charcoal,Q-tip,Cold Weather,Use,ears,pastel,Sad,Buttons
left,blue,No,louder,is that,cross the road,What is happening in the picture,Could you draw that?,That's cool!,I need to charge my batteries,is that,that's cool!,use your fingers,paint,This is a,your pencil,Use,What animals are these?,Excited,Scissors
up,purple,Ask me a question,quieter,was that,climb the tree,Draw me a scarf,Red,Art is Cool!,I need a break,is this,Be Creative,Draw an animal,water,Seal,an different color,your scissors,What colors are the animals?,Mad,Glue
down,black,I like that,You are awesome,tell me more,say to the,Draw something... <all the colors>,orange,What is that?,Lets follow directions,is here,Awesome,What is its name?,What does you symbol mean?,Polar bear,your paintbrush,your glue,What animal will you draw?,Confused,What is that?
point,white,tell me more,lets try again,wow,you tell me,Draw my house,yellow,Can you show me?,please wait,is there,Why is that,I like that name,Wow,Wallrus,your black paint to outline,What color will you use for the,What color will you use?,Scared,Your art is neat!
Simon didn't say!,Big,ouch,,that's interesting,hehe that's funny,What did I do today,green,Tell me more,Quiet voice please,is above,What happens next?,What kind of animal did you draw?,Interesting,Penguin,Draw,What is your Frankenkid's name?,How does the animal make you feel?,Shy,Glue
Gotcha!,Small,color,,I do not like that,tell me a joke,Draw me a car,blue,Let me think about that,use your words,is below,Can you draw a...,Can you tell me a story about your animal?,What is your story?,Lets make animals!,eyes,Cool,What is your animal's name?,Curious,Be careful
Oops,No,food,,that's funny,I don't know,Draw me a costume,purple,Yes,nice hands,it,Triangle,Wow,I like that,Use your hands,mouth,Ohhh! Thats Scary!,Cool,Me too,Cut the magazine
Let's play again,yes,thing,,Really,knock knock,What am I,What is that,No,Thank you!,What does that mean?,Square,Can you tell me more?,Do you think that looks like me?,What did you make?,nose,I like that name,I like that name,What color will you use?,It's like a window for your art!
Great job Ian!,guess again,place to go,,you're kidding,who's there,Draw me on the moon,I look awesome,Maybe,do you need a break,What do you think?,circle,Awesome Cave Art,That looks awesome,Is it an animal?,What is their name?,Keep working,Great work!,Great job!,Can you tell me more?
clap your hands,keep guessing,I'm tired,,hehe that's funny,Romeebo,How did I get to the moon?,Lets play again,I'll see you next time,ok,That's interesting.,rectangle,Great  Job,Yes,What is your animal's name?,I like that name,Be careful,That's how I feel,Your are working hard,Awesome
you win,you're close,I need to charge my batteries,,Tell me a story,who,Draw a tree,Where am I?,Goodbye,I don't like that,Me too!,almost done,Time to clean up,No,Lets make friends!,That looks awesome,That looks great,Wow,I like pop art,Way cool
Great job,you win,I'll see you next time,,what happens next,just kidding,Is there anything in the tree,Great job!,,,,,,,,,,,,
